symbol,type,entry,exit,exit_reason,r_multiple,open_ts,close_ts
DOT/USDT,SHORT,4.36,4.43,SL,-1.0,2025-02-25 14:45:00+00:00,2025-02-25 15:45:00+00:00
DOT/USDT,SHORT,3.97,3.94,PARTIAL,0.158,2025-03-13 02:45:00+00:00,2025-03-13 04:30:00+00:00
DOT/USDT,SHORT,3.97,4.0,SL,-0.8,2025-03-13 02:45:00+00:00,2025-03-13 09:30:00+00:00
DOT/USDT,SHORT,3.94,3.93,PARTIAL,0.15,2025-04-06 01:45:00+00:00,2025-04-06 02:30:00+00:00
DOT/USDT,SHORT,3.94,3.94,SL,0.063,2025-04-06 01:45:00+00:00,2025-04-06 04:45:00+00:00
DOT/USDT,SHORT,3.94,3.92,PARTIAL,0.154,2025-05-05 19:30:00+00:00,2025-05-05 20:00:00+00:00
DOT/USDT,SHORT,3.94,3.94,SL,0.064,2025-05-05 19:30:00+00:00,2025-05-05 22:30:00+00:00
DOT/USDT,SHORT,3.75,3.74,PARTIAL,0.151,2025-06-18 06:30:00+00:00,2025-06-18 08:15:00+00:00
DOT/USDT,SHORT,3.75,3.7,TP,2.234,2025-06-18 06:30:00+00:00,2025-06-18 10:00:00+00:00
DOT/USDT,SHORT,3.51,3.5,PARTIAL,0.154,2025-06-20 09:45:00+00:00,2025-06-20 10:00:00+00:00
DOT/USDT,SHORT,3.51,3.54,SL,-0.8,2025-06-20 09:45:00+00:00,2025-06-20 11:00:00+00:00
DOT/USDT,LONG,4.29,4.26,SL,-1.0,2025-08-14 06:45:00+00:00,2025-08-14 07:00:00+00:00
DOT/USDT,SHORT,3.77,3.76,PARTIAL,0.15,2025-09-04 23:30:00+00:00,2025-09-05 01:00:00+00:00
DOT/USDT,SHORT,3.77,3.79,SL,-0.8,2025-09-04 23:30:00+00:00,2025-09-05 02:00:00+00:00
DOT/USDT,SHORT,3.92,3.89,PARTIAL,0.159,2025-09-25 15:15:00+00:00,2025-09-25 16:15:00+00:00
DOT/USDT,SHORT,3.92,3.81,TP,2.32,2025-09-25 15:15:00+00:00,2025-09-25 17:30:00+00:00
DOT/USDT,LONG,3.19,3.14,SL,-1.0,2025-11-08 17:15:00+00:00,2025-11-08 19:15:00+00:00
DOT/USDT,SHORT,2.25,2.24,PARTIAL,0.159,2025-11-25 19:00:00+00:00,2025-11-25 19:15:00+00:00
DOT/USDT,SHORT,2.25,2.28,SL,-0.8,2025-11-25 19:00:00+00:00,2025-11-25 20:30:00+00:00
DOT/USDT,SHORT,2.13,2.15,SL,-1.0,2025-12-06 19:15:00+00:00,2025-12-06 21:00:00+00:00
DOT/USDT,SHORT,1.9,1.9,PARTIAL,0.152,2026-01-25 11:00:00+00:00,2026-01-25 11:45:00+00:00
DOT/USDT,SHORT,1.9,1.88,TP,2.24,2026-01-25 11:00:00+00:00,2026-01-25 16:00:00+00:00
DOT/USDT,SHORT,1.29,1.29,PARTIAL,0.151,2026-03-28 09:15:00+00:00,2026-03-28 11:45:00+00:00
DOT/USDT,SHORT,1.29,1.28,TP,2.234,2026-03-28 09:15:00+00:00,2026-03-28 12:00:00+00:00
DOT/USDT,SHORT,1.22,1.23,SL,-1.0,2026-04-02 17:45:00+00:00,2026-04-02 18:45:00+00:00
